Financial year,Local authority name,Region,Measure,Value,Units
2021-22,Essex,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.6,Score (between 0 and 12)
2021-22,Gateshead,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),8.4,Score (between 0 and 12)
2021-22,Gloucestershire,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Greenwich,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Hackney,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),-,Score (between 0 and 12)
2021-22,Halton,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,Hammersmith and Fulham,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Hampshire,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Haringey,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,Harrow,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Hartlepool,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Havering,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Herefordshire,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.5,Score (between 0 and 12)
2021-22,Hertfordshire,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Hillingdon,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Hounslow,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Isle of Wight,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.7,Score (between 0 and 12)
2021-22,Isles of Scilly,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),-,Score (between 0 and 12)
2021-22,Islington,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Kensington and Chelsea,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Kent,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,Kingston Upon Hull,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Kingston upon Thames,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Kirklees,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,Knowsley,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Lambeth,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Lancashire,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Leeds,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Leicester,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Leicestershire,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Lewisham,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),-,Score (between 0 and 12)
2021-22,Lincolnshire,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Liverpool,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.5,Score (between 0 and 12)
2021-22,Luton,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Manchester,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Medway,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Merton,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.6,Score (between 0 and 12)
2021-22,Middlesbrough,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Milton Keynes,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.6,Score (between 0 and 12)
2021-22,Newcastle upon Tyne,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Newham,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.7,Score (between 0 and 12)
2021-22,Norfolk,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,North East Lincolnshire,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,North Lincolnshire,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,North Northamptonshire,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,North Somerset,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,North Tyneside,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,North Yorkshire,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Northumberland,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),8.2,Score (between 0 and 12)
2021-22,Nottingham,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Nottinghamshire,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Oldham,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Oxfordshire,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Peterborough,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Plymouth,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Portsmouth,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Reading,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Redbridge,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,Redcar and Cleveland,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,Richmond upon Thames,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Rochdale,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Rotherham,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,Rutland,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),8,Score (between 0 and 12)
2021-22,Salford,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Sandwell,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Sefton,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.6,Score (between 0 and 12)
2021-22,Sheffield,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Shropshire,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Slough,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.1,Score (between 0 and 12)
2021-22,Solihull,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Somerset,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,South Gloucestershire,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,South Tyneside,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Southampton,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,Southend-on-Sea,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),8.2,Score (between 0 and 12)
2021-22,Southwark,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,St. Helens,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Staffordshire,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Stockport,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Stockton-on-Tees,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Stoke-on-Trent,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),8,Score (between 0 and 12)
2021-22,Suffolk,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Sunderland,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Surrey,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Sutton,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Swindon,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.9,Score (between 0 and 12)
2021-22,Tameside,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Telford and Wrekin,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Thurrock,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Torbay,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Tower Hamlets,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Trafford,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Wakefield,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Walsall,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Waltham Forest,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.6,Score (between 0 and 12)
2021-22,Wandsworth,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Warrington,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,Warwickshire,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.4,Score (between 0 and 12)
2021-22,West Berkshire,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.9,Score (between 0 and 12)
2021-22,West Northamptonshire,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,West Sussex,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Westminster,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Wigan,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Wiltshire,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.6,Score (between 0 and 12)
2021-22,Windsor and Maidenhead,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.6,Score (between 0 and 12)
2021-22,Wirral,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.9,Score (between 0 and 12)
2021-22,Wokingham,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.7,Score (between 0 and 12)
2021-22,Wolverhampton,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Worcestershire,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,York,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.6,Score (between 0 and 12)
2021-22,Barking and Dagenham,London,Carers who found it easy to find information about services (Percentage),52.9,Percentage
2021-22,Barnet,London,Carers who found it easy to find information about services (Percentage),51.3,Percentage
2021-22,Barnsley,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),60.5,Percentage
2021-22,Bath and North East Somerset,South West,Carers who found it easy to find information about services (Percentage),58.2,Percentage
2021-22,Bedford,East of England,Carers who found it easy to find information about services (Percentage),54.8,Percentage
2021-22,Bexley,London,Carers who found it easy to find information about services (Percentage),56.8,Percentage
2021-22,Birmingham,West Midlands,Carers who found it easy to find information about services (Percentage),48.5,Percentage
2021-22,Blackburn with Darwen,North West,Carers who found it easy to find information about services (Percentage),63.6,Percentage
2021-22,Blackpool,North West,Carers who found it easy to find information about services (Percentage),71.9,Percentage
2021-22,Bolton,North West,Carers who found it easy to find information about services (Percentage),63.1,Percentage
2021-22,"Bournemouth, Christchurch and Poole",South West,Carers who found it easy to find information about services (Percentage),59,Percentage
2021-22,Bracknell Forest,South East,Carers who found it easy to find information about services (Percentage),63,Percentage
2021-22,Bradford,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),50.9,Percentage
2021-22,Brent,London,Carers who found it easy to find information about services (Percentage),44.7,Percentage
2021-22,Brighton and Hove,South East,Carers who found it easy to find information about services (Percentage),60.8,Percentage
2021-22,Bristol,South West,Carers who found it easy to find information about services (Percentage),61.8,Percentage
2021-22,Bromley,London,Carers who found it easy to find information about services (Percentage),58.4,Percentage
2021-22,Buckinghamshire,South East,Carers who found it easy to find information about services (Percentage),51.2,Percentage
2021-22,Bury,North West,Carers who found it easy to find information about services (Percentage),50.7,Percentage
2021-22,Calderdale,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),52.4,Percentage
2021-22,Cambridgeshire,East of England,Carers who found it easy to find information about services (Percentage),55.6,Percentage
2021-22,Camden,London,Carers who found it easy to find information about services (Percentage),56.3,Percentage
2021-22,Central Bedfordshire,East of England,Carers who found it easy to find information about services (Percentage),62.1,Percentage
2021-22,Cheshire East,North West,Carers who found it easy to find information about services (Percentage),58,Percentage
2021-22,Cheshire West and Chester,North West,Carers who found it easy to find information about services (Percentage),57.9,Percentage
2021-22,City of London,London,Carers who found it easy to find information about services (Percentage),80,Percentage
2021-22,Cornwall,South West,Carers who found it easy to find information about services (Percentage),55.3,Percentage
2021-22,County Durham,North East,Carers who found it easy to find information about services (Percentage),67.8,Percentage
2021-22,Coventry,West Midlands,Carers who found it easy to find information about services (Percentage),58.7,Percentage
2021-22,Croydon,London,Carers who found it easy to find information about services (Percentage),45.3,Percentage
2021-22,Cumbria,North West,Carers who found it easy to find information about services (Percentage),59.7,Percentage
2021-22,Darlington,North East,Carers who found it easy to find information about services (Percentage),53.7,Percentage
2021-22,Derby,East Midlands,Carers who found it easy to find information about services (Percentage),44.8,Percentage
2021-22,Derbyshire,East Midlands,Carers who found it easy to find information about services (Percentage),62.4,Percentage
2021-22,Devon,South West,Carers who found it easy to find information about services (Percentage),64.3,Percentage
2021-22,Doncaster,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),51.9,Percentage
2021-22,Dorset,South West,Carers who found it easy to find information about services (Percentage),62,Percentage
2021-22,Dudley,West Midlands,Carers who found it easy to find information about services (Percentage),60,Percentage
2021-22,Ealing,London,Carers who found it easy to find information about services (Percentage),44.1,Percentage
2021-22,East Riding of Yorkshire,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),52.2,Percentage
2021-22,East Sussex,South East,Carers who found it easy to find information about services (Percentage),67.9,Percentage
2021-22,Enfield,London,Carers who found it easy to find information about services (Percentage),57.5,Percentage
2021-22,Essex,East of England,Carers who found it easy to find information about services (Percentage),58,Percentage
2021-22,Gateshead,North East,Carers who found it easy to find information about services (Percentage),63.5,Percentage
2021-22,Gloucestershire,South West,Carers who found it easy to find information about services (Percentage),67.8,Percentage
2021-22,Greenwich,London,Carers who found it easy to find information about services (Percentage),45.9,Percentage
2021-22,Hackney,London,Carers who found it easy to find information about services (Percentage),-,Percentage
2021-22,Halton,North West,Carers who found it easy to find information about services (Percentage),72.6,Percentage
2021-22,Hammersmith and Fulham,London,Carers who found it easy to find information about services (Percentage),56.3,Percentage
2021-22,Hampshire,South East,Carers who found it easy to find information about services (Percentage),51.9,Percentage
2021-22,Haringey,London,Carers who found it easy to find information about services (Percentage),42.9,Percentage
2021-22,Harrow,London,Carers who found it easy to find information about services (Percentage),52.4,Percentage
2021-22,Hartlepool,North East,Carers who found it easy to find information about services (Percentage),77.8,Percentage
2021-22,Havering,London,Carers who found it easy to find information about services (Percentage),50.4,Percentage
2021-22,Herefordshire,West Midlands,Carers who found it easy to find information about services (Percentage),52.3,Percentage
2021-22,Hertfordshire,East of England,Carers who found it easy to find information about services (Percentage),62.5,Percentage
2021-22,Hillingdon,London,Carers who found it easy to find information about services (Percentage),54.5,Percentage
2021-22,Hounslow,London,Carers who found it easy to find information about services (Percentage),49.1,Percentage
2021-22,Isle of Wight,South East,Carers who found it easy to find information about services (Percentage),58.9,Percentage
2021-22,Isles of Scilly,South West,Carers who found it easy to find information about services (Percentage),-,Percentage
2021-22,Islington,London,Carers who found it easy to find information about services (Percentage),55.9,Percentage
2021-22,Kensington and Chelsea,London,Carers who found it easy to find information about services (Percentage),46.3,Percentage
2021-22,Kent,South East,Carers who found it easy to find information about services (Percentage),65.9,Percentage
2021-22,Kingston Upon Hull,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),57.5,Percentage
2021-22,Kingston upon Thames,London,Carers who found it easy to find information about services (Percentage),67.4,Percentage
2021-22,Kirklees,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),54.4,Percentage
2021-22,Knowsley,North West,Carers who found it easy to find information about services (Percentage),53.7,Percentage
2021-22,Lambeth,London,Carers who found it easy to find information about services (Percentage),47.9,Percentage
2021-22,Lancashire,North West,Carers who found it easy to find information about services (Percentage),60.8,Percentage
2021-22,Leeds,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),57.1,Percentage
2021-22,Leicester,East Midlands,Carers who found it easy to find information about services (Percentage),50,Percentage
2021-22,Leicestershire,East Midlands,Carers who found it easy to find information about services (Percentage),49.4,Percentage
2021-22,Lewisham,London,Carers who found it easy to find information about services (Percentage),-,Percentage
2021-22,Lincolnshire,East Midlands,Carers who found it easy to find information about services (Percentage),57.2,Percentage
2021-22,Liverpool,North West,Carers who found it easy to find information about services (Percentage),50,Percentage
2021-22,Luton,East of England,Carers who found it easy to find information about services (Percentage),43.5,Percentage
2021-22,Manchester,North West,Carers who found it easy to find information about services (Percentage),46,Percentage
2021-22,Medway,South East,Carers who found it easy to find information about services (Percentage),50,Percentage
2021-22,Merton,London,Carers who found it easy to find information about services (Percentage),55.3,Percentage
2021-22,Middlesbrough,North East,Carers who found it easy to find information about services (Percentage),64.9,Percentage
2021-22,Milton Keynes,South East,Carers who found it easy to find information about services (Percentage),49.7,Percentage
2021-22,Newcastle upon Tyne,North East,Carers who found it easy to find information about services (Percentage),48.6,Percentage
2021-22,Newham,London,Carers who found it easy to find information about services (Percentage),51.6,Percentage
2021-22,Norfolk,East of England,Carers who found it easy to find information about services (Percentage),61.3,Percentage
2021-22,North East Lincolnshire,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),69.7,Percentage
2021-22,North Lincolnshire,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),70.2,Percentage
2021-22,North Northamptonshire,East Midlands,Carers who found it easy to find information about services (Percentage),58.9,Percentage
2021-22,North Somerset,South West,Carers who found it easy to find information about services (Percentage),54.1,Percentage
2021-22,North Tyneside,North East,Carers who found it easy to find information about services (Percentage),61.3,Percentage
2021-22,North Yorkshire,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),57.9,Percentage
2021-22,Northumberland,North East,Carers who found it easy to find information about services (Percentage),70.2,Percentage
2021-22,Nottingham,East Midlands,Carers who found it easy to find information about services (Percentage),53.1,Percentage
2021-22,Nottinghamshire,East Midlands,Carers who found it easy to find information about services (Percentage),59.3,Percentage
2021-22,Oldham,North West,Carers who found it easy to find information about services (Percentage),53.1,Percentage
2021-22,Oxfordshire,South East,Carers who found it easy to find information about services (Percentage),55.4,Percentage
2021-22,Peterborough,East of England,Carers who found it easy to find information about services (Percentage),56.3,Percentage
2021-22,Plymouth,South West,Carers who found it easy to find information about services (Percentage),61.5,Percentage
2021-22,Portsmouth,South East,Carers who found it easy to find information about services (Percentage),67.4,Percentage
2021-22,Reading,South East,Carers who found it easy to find information about services (Percentage),44.4,Percentage
2021-22,Redbridge,London,Carers who found it easy to find information about services (Percentage),43.7,Percentage
2021-22,Redcar and Cleveland,North East,Carers who found it easy to find information about services (Percentage),64.7,Percentage
2021-22,Richmond upon Thames,London,Carers who found it easy to find information about services (Percentage),58.6,Percentage
2021-22,Rochdale,North West,Carers who found it easy to find information about services (Percentage),62.3,Percentage
2021-22,Rotherham,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),61.8,Percentage
2021-22,Rutland,East Midlands,Carers who found it easy to find information about services (Percentage),82.9,Percentage
2021-22,Salford,North West,Carers who found it easy to find information about services (Percentage),62.7,Percentage
2021-22,Sandwell,West Midlands,Carers who found it easy to find information about services (Percentage),49.4,Percentage
2021-22,Sefton,North West,Carers who found it easy to find information about services (Percentage),47.1,Percentage
2021-22,Sheffield,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),53.3,Percentage
2021-22,Shropshire,West Midlands,Carers who found it easy to find information about services (Percentage),58.2,Percentage
2021-22,Slough,South East,Carers who found it easy to find information about services (Percentage),41.8,Percentage
2021-22,Solihull,West Midlands,Carers who found it easy to find information about services (Percentage),54.1,Percentage
2021-22,Somerset,South West,Carers who found it easy to find information about services (Percentage),46,Percentage
2021-22,South Gloucestershire,South West,Carers who found it easy to find information about services (Percentage),62,Percentage
2021-22,South Tyneside,North East,Carers who found it easy to find information about services (Percentage),63.8,Percentage
